kontoname;art;bezeichnung;hinweis
finom;geschaeft;Finom Geschaeftskonto;Hauptkonto des Betriebs
geschaeftskonto;geschaeft;Geschaeftskonto;Sammelbezeichnung, falls der Export anders heisst
privatkonto;privat;Privatkonto;
dkb;privat;DKB Privatkonto;
ing;privat;ING Privatkonto;
n26;privat;N26;
commerzbank;privat;Commerzbank;
haspa;privat;Hamburger Sparkasse;
tagesgeld;ruecklage;Tagesgeldkonto;Zaehlt nicht als Ausgabe, sondern als Ruecklage
sparkonto;ruecklage;Sparkonto;
steuerruecklage;ruecklage;Steuerruecklage;Geld fuer die naechste Steuerzahlung
depot;ruecklage;Depot;
