kategorie;art;stichwoerter;anteil_vorschlag;nachweis;hinweis
Software und Abos;kandidat;canva|adobe|zoom|manychat|podigee|elementor|notion|dropbox|google one|google workspace|openai|anthropic|claude|midjourney|capcut|calendly|mailchimp|activecampaign|convertkit|wordpress|squarespace|shopify|slack|figma|descript|epidemic sound|artlist|linktree|norton|1password|lastpass;100;Rechnung auf den Firmennamen, moeglichst mit USt-ID;Bei Anbietern im EU-Ausland Reverse-Charge pruefen lassen.
Telefon und Internet;kandidat;vodafone|telekom|telefonica|o2 |1&1|congstar|blau.de|blau mobilfunk|winsim|klarmobil|mobilcom;50;Rechnung plus kurze Begruendung des betrieblichen Anteils;Anteil ist eine Arbeitsannahme und gehoert einmal mit der Kanzlei festgelegt.
Technik und Ausstattung;kandidat;apple|media markt|saturn|cyberport|gravis|conrad|elgato|rode |manfrotto|rollei|dji|gopro|logitech|anker|notebooksbilliger;100;Rechnung plus Notiz, wofuer das Geraet benutzt wird;Ab 800 EUR netto wird abgeschrieben statt sofort abgezogen.
Buero und Material;kandidat;amazon|ikea|office discount|buerobedarf|staples|mcpaper|idee creativ|thalia|hugendubel;100;Rechnung mit Einzelpositionen;Bei Sammelbestellungen private Positionen herausrechnen.
Einkaeufe fuer Kooperationen;kandidat;aldi|lidl|rewe|edeka|kaufland|netto marken|penny|dm |dm-drogerie|rossmann|mueller drogerie|drogeriemarkt mueller|budni|globus;100;Kassenbon plus Nachweis des Contents (Screenshot, Link, Datum);Nur wenn das Produkt tatsaechlich in einer Kooperation oder einem Beitrag vorkommt. Ohne Content-Nachweis privat.
Fahrtkosten oeffentlich;kandidat;deutsche bahn|db vertrieb|db fernverkehr|flixbus|flixtrain|uber|free now|taxi|bvg|rmv|vrr|hvv;100;Ticket plus Termin oder Anlass;Reiseziel und betrieblicher Anlass gehoeren auf den Beleg.
Fahrtkosten Auto;kandidat;tankstelle|aral|shell|esso|jet |totalenergies|total tankstelle|agip|star tankstelle|ionity|ewe go|ladestation|leasing|bmw|adac;100;Fahrtenbuch oder Reisekostenabrechnung;Ohne Fahrtenbuch nur die Kilometerpauschale je betrieblicher Fahrt.
Reise und Uebernachtung;kandidat;booking|airbnb|hotel|ibis|motel one|hilton|marriott|lufthansa|eurowings|ryanair|easyjet|condor;100;Rechnung plus Programm, Einladung oder Drehplan;Bei gemischt privat-beruflichen Reisen nur den beruflichen Teil ansetzen.
Bewirtung;kandidat;restaurant|gaststaette|gastst|pizzeria|trattoria|cafe |bistro|brauhaus|steakhouse|sushi;70;Bewirtungsbeleg mit Anlass und allen Teilnehmern;Gesetzlich nur 70 Prozent abziehbar. Ohne Anlass und Teilnehmer auf dem Beleg faellt der Abzug komplett weg.
Porto und Versand;kandidat;dhl|hermes|deutsche post|ups|dpd|gls|packstation|sendcloud;100;Quittung oder Versandbeleg;Versand von Gewinnspielen und Kooperationsware gehoert hierher.
Weiterbildung;kandidat;seminar|workshop|kurs|coaching|masterclass|akademie|udemy|blinkist|konferenz|kongress|meetup;100;Rechnung plus Programm oder Teilnahmebestaetigung;Fachbezug muss aus dem Beleg hervorgehen.
Beratung und Fremdleistung;kandidat;steuerberat|steuerkanzlei|rechtsanwalt|kanzlei|notar|virtuelle assist|assistenz|lektorat|grafik|webdesign|fotograf|videograf|cutter;100;Rechnung;Bei laufenden Dienstleistern auf Rechnungsnummernfolge achten.
Versicherung und Beitraege;kandidat;hiscox|exali|berufshaftpflicht|betriebshaftpflicht|inhaltsversicherung|rechtsschutz|ihk |handelskammer|kuenstlersozialkasse|ksk;100;Beitragsrechnung;Private Versicherungen gehoeren nicht hierher, siehe Ausschlussliste.
Arbeitszimmer und Energie;kandidat;eon|e.on|vattenfall|stadtwerke|rwe|innogy|enbw|lichtblick|naturstrom|miete|nebenkosten;anteilig;Jahresabrechnung plus Flaechenberechnung;Nur bei haeuslichem Arbeitszimmer. Sonst greift die Homeoffice-Pauschale von 6 EUR je Tag, hoechstens 1260 EUR im Jahr.
Bankgebuehren und Zahlungsdienste;kandidat;kontofuehrung|kontogebuehr|depotgebuehr|paypal gebuehr|stripe|sumup|klarna gebuehr;100;Kontoauszug oder Gebuehrenabrechnung;Gebuehren des Geschaeftskontos sind voll abziehbar.
Geschenke an Geschaeftspartner;kandidat;geschenk|praesent|blumen|fleurop|geschenkkorb;100;Beleg plus Name der beschenkten Person;Nur bis 50 EUR je Person und Jahr, sonst faellt der Abzug ganz weg.
Kinderbetreuung;ausschluss;kita|kindergarten|hort|tagesmutter|betreuung|ogs;0;-;Keine Betriebsausgabe. Geht als Sonderausgabe in die private Steuererklaerung, Belege trotzdem sammeln.
Gesundheit;ausschluss;apotheke|arzt|zahnarzt|praxis|physiothera|krankenkasse|aok|tk |barmer|dak;0;-;Privat. Beitraege zur Kranken- und Pflegeversicherung wirken als Sonderausgabe.
Private Vorsorge;ausschluss;lebensversicherung|riester|ruerup|altersvorsorge|hausrat|privathaftpflicht|kfz-versicherung;0;-;Privat oder Sonderausgabe, keine Betriebsausgabe.
Kleidung;ausschluss;zalando|h&m|zara|c&a|about you|breuninger|peek|snipes|deichmann|les lunes;0;-;Alltagskleidung ist auch dann privat, wenn sie im Content getragen wird. Ausnahme: echte typische Berufskleidung.
Lebenshaltung;ausschluss;spotify|netflix|disney|amazon prime video|dazn|sky|fitness|mcfit|urban sports|friseur|kosmetik;0;-;Privat, solange kein konkreter betrieblicher Anlass belegt ist.
